acc_id,tel_number,cst_id,is_suspect,is_victim
0,080-7890-1495,0,0,0
1,070-2033-4132,1,0,0
2,070-2500-2041,2,0,0
3,070-9916-2602,3,0,0
4,070-5969-2266,4,0,0
5,080-6874-9484,5,0,0
6,070-8946-4213,6,0,0
7,080-3471-5851,7,0,0
8,070-7068-5611,8,0,0
9,080-7116-4282,9,0,0
10,070-8026-6928,10,0,0
11,080-8629-6550,11,0,0
12,080-5407-9079,12,0,0
13,080-5763-9418,13,0,0
14,070-9636-4033,14,0,0
15,070-1190-7405,15,0,0
16,080-8687-6904,16,0,0
17,080-5971-5491,17,0,0
18,070-3012-9127,18,0,0
19,070-9527-2482,19,0,0
20,070-5257-9280,20,0,0
21,070-7848-9475,21,0,0
22,070-4975-1288,22,0,0
23,080-2368-1207,23,0,0
24,080-3991-3682,24,0,0
25,080-1251-3628,25,0,0
26,070-4361-6313,26,0,0
27,080-5541-4513,27,0,0
28,070-3143-7705,28,0,0
29,070-6666-8353,29,0,0
30,080-1492-8641,30,0,0
31,070-8693-2380,31,0,0
32,070-4499-2776,32,0,0
33,070-4821-4405,33,0,0
34,080-1453-3817,34,0,0
35,080-3158-5182,35,0,0
36,080-1956-1255,36,0,0
37,070-9438-1435,37,0,0
38,080-8029-9898,38,0,0
39,070-5254-5734,39,0,0
40,080-9584-1390,40,0,0
41,080-6443-3835,41,0,0
42,070-1409-4378,42,0,0
43,070-5687-9553,43,0,0
44,080-9520-7657,44,0,0
45,080-7843-6994,45,0,0
46,070-7553-1489,46,0,0
47,080-2024-6286,47,0,0
48,080-3160-7843,48,0,0
49,070-6641-6076,49,0,0
50,080-5360-5473,50,0,0
51,070-9228-7786,51,0,0
52,080-1893-9916,52,0,0
53,070-8479-7168,53,0,0
54,070-8191-7831,54,0,0
55,070-4215-2842,55,0,0
56,070-8760-9025,56,0,0
57,070-7025-8245,57,0,0
58,070-4370-8887,58,0,0
59,070-2386-8992,59,0,0
60,080-5643-8101,60,0,0
61,080-3977-7840,61,0,0
62,070-2067-3925,62,0,0
63,080-8278-4612,63,0,0
64,080-3045-8743,64,0,0
65,080-5732-4534,65,0,0
66,070-6111-6340,66,0,0
67,070-2902-6016,67,0,0
68,080-9204-2362,68,0,0
69,070-2570-3049,69,0,0
70,070-5818-9637,70,0,0
71,080-9330-8617,71,0,0
72,070-4051-5224,72,0,0
73,080-3002-7168,73,0,0
74,070-6230-2482,74,0,0
75,080-8153-6583,75,0,0
76,080-8590-5785,76,0,0
77,080-6339-3424,77,0,0
78,070-2573-4687,78,0,0
79,070-8168-5293,79,0,0
80,080-7454-7657,0,0,0
81,080-6539-7855,1,0,0
82,070-9026-7204,2,0,0
83,080-8535-2089,3,0,0
84,080-1611-7009,4,0,0
85,070-2754-4942,5,0,0
86,070-6201-1147,6,0,0
87,070-4099-7642,7,0,0
88,080-4104-5089,8,0,0
89,070-5240-2725,9,0,0
90,070-2518-6910,10,0,0
91,070-3824-9400,11,0,0
92,080-9457-7939,12,0,0
93,080-6788-2395,13,0,0
94,070-3033-4441,14,0,0
95,070-9093-1351,15,0,0
96,080-6155-9274,16,0,0
97,070-8028-5569,17,0,0
98,080-1705-5329,18,0,0
99,080-7238-3457,19,0,0
